60.7755	5
60.78008	2
60.78466	2
60.78924	5
60.79382	2
60.7984	3
60.80298	9
60.80756	4
60.81214	3
60.81672	5
60.8213	4
60.82588	5
60.83046	7
60.83504	3
60.83962	6
60.84421	6
60.84879	10
60.85337	2
60.85795	9
60.86253	5
60.86712	14
60.8717	7
60.87628	11
60.88087	11
60.88545	5
60.89003	12
60.89462	7
60.8992	8
60.90378	9
60.90837	17
60.91295	11
60.91754	13
60.92212	18
60.92671	17
60.93129	16
60.93588	12
60.94046	24
60.94505	24
60.94963	27
60.95422	16
60.95881	21
60.96339	16
60.96798	25
60.97257	35
60.97715	27
60.98174	26
60.98633	22
60.99091	29
60.9955	26
61.00009	17
61.00468	36
61.00927	33
61.01385	33
61.01844	33
61.02303	31
61.02762	24
61.03221	26
61.0368	28
61.04139	38
61.04598	27
61.05056	36
61.05515	34
61.05974	34
61.06433	32
61.06892	34
61.07352	27
61.07811	44
61.0827	32
61.08729	33
61.09188	30
61.09647	29
61.10106	32
61.10565	36
61.11024	28
61.11484	33
61.11943	43
61.12402	32
61.12861	32
61.13321	43
61.1378	20
61.14239	32
61.14699	23
61.15158	28
61.15617	25
61.16077	30
61.16536	30
61.16995	28
61.17455	21
61.17914	23
61.18374	30
61.18833	27
61.19293	28
61.19752	24
61.20212	21
61.20671	18
61.21131	23
61.2159	20
61.2205	23
61.2251	20
61.22969	11
61.23429	25
61.23889	16
61.24348	20
61.24808	21
61.25268	26
61.25727	16
61.26187	16
61.26647	19
61.27107	11
61.27566	13
61.28026	16
61.28486	18
61.28946	12
61.29406	14
61.29866	16
61.30326	11
61.30786	10
61.31245	11
61.31705	11
61.32165	8
61.32625	13
